epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8289,1.64207,2.18597,1.76361,0.54516,0.8,0.67725,0.40546,1.0526,2.77,1.34833,0.00065,0.00065,0.00065
2,98.8592,1.21528,1.59357,1.45198,0.85494,1,0.89844,0.62438,0.92541,2.47023,1.39698,0.0012906,0.0012906,0.0012906
3,139.783,1.28158,1.95008,1.47689,0.36996,1,0.98196,0.52185,1.06557,9.06881,1.581,0.00190479,0.00190479,0.00190479
4,182.544,1.25986,2.12685,1.37993,0.5316,0.45,0.52918,0.12208,1.49655,3.56939,1.88308,0.0018812,0.0018812,0.0018812
5,249.456,1.30431,1.57212,1.47115,0.85318,0.65,0.8403,0.49453,1.42389,2.14971,1.77806,0.0018416,0.0018416,0.0018416
6,311.631,1.33147,1.79438,1.63814,0.05552,1,0.51709,0.32562,1.03872,31.169,1.71882,0.001802,0.001802,0.001802
7,357.258,1.30665,1.28313,1.60508,0.99321,1,0.995,0.70297,1.0606,1.90419,1.55407,0.0017624,0.0017624,0.0017624
8,395.914,1.48614,1.196,1.56646,0.99663,1,0.995,0.70887,1.16185,0.7508,1.53563,0.0017228,0.0017228,0.0017228
9,435.928,1.25555,0.90696,1.53334,0.99244,1,0.995,0.67624,1.20911,1.15093,1.57305,0.0016832,0.0016832,0.0016832
10,493.985,1.26117,0.82988,1.49489,0.99115,1,0.995,0.7635,0.88579,1.42719,1.33755,0.0016436,0.0016436,0.0016436
11,557.179,1.20464,0.85916,1.45038,0.99645,1,0.995,0.75692,0.88065,0.6306,1.32788,0.001604,0.001604,0.001604
12,612.624,1.1842,0.83833,1.42601,0.99728,1,0.995,0.73214,0.91236,0.64058,1.31423,0.0015644,0.0015644,0.0015644
13,651.489,1.12768,0.75459,1.4269,0.99716,1,0.995,0.76993,0.86424,0.56829,1.26567,0.0015248,0.0015248,0.0015248
14,691.75,1.13183,0.72257,1.43532,0.99718,1,0.995,0.72446,0.98668,0.55203,1.35695,0.0014852,0.0014852,0.0014852
15,733.728,1.10532,0.71765,1.34461,0.9971,1,0.995,0.75878,0.88983,0.55461,1.28748,0.0014456,0.0014456,0.0014456
16,807.828,1.18808,0.74885,1.45442,0.9966,1,0.995,0.71046,1.02521,0.59169,1.36979,0.001406,0.001406,0.001406
17,863.267,1.08044,0.70544,1.31501,0.99562,1,0.995,0.71163,0.99726,0.68868,1.34619,0.0013664,0.0013664,0.0013664
18,906.631,1.14249,0.72797,1.36516,0.99715,1,0.995,0.74096,0.87152,0.54697,1.26016,0.0013268,0.0013268,0.0013268
19,944.17,1.05802,0.65369,1.37331,0.99711,1,0.995,0.73004,0.92376,0.59986,1.30672,0.0012872,0.0012872,0.0012872
20,982.311,1.09393,0.64626,1.38025,0.99703,1,0.995,0.70443,0.99908,0.53229,1.34754,0.0012476,0.0012476,0.0012476
21,1038.84,1.03441,0.62038,1.34827,0.99712,1,0.995,0.76568,0.90421,0.50622,1.27973,0.001208,0.001208,0.001208
22,1097.21,1.11566,0.63327,1.40962,0.99702,1,0.995,0.77424,0.8643,0.48249,1.2507,0.0011684,0.0011684,0.0011684
23,1147.69,0.95084,0.58597,1.25162,0.99697,1,0.995,0.7505,0.90287,0.50657,1.29162,0.0011288,0.0011288,0.0011288
24,1183.5,1.02881,0.59951,1.28707,0.99739,1,0.995,0.76103,0.86879,0.44965,1.31062,0.0010892,0.0010892,0.0010892
25,1221.82,1.04853,0.62325,1.3115,0.99737,1,0.995,0.77119,0.84243,0.47995,1.30738,0.0010496,0.0010496,0.0010496
26,1263.63,0.97964,0.5806,1.27054,0.99731,1,0.995,0.80375,0.82241,0.46212,1.2686,0.00101,0.00101,0.00101
27,1321,1.09282,0.5861,1.37548,0.99702,1,0.995,0.77424,0.88926,0.46872,1.30186,0.0009704,0.0009704,0.0009704
28,1377,0.97777,0.58862,1.27582,0.99676,1,0.995,0.72348,0.98157,0.50946,1.35017,0.0009308,0.0009308,0.0009308
29,1413.12,1.02955,0.59328,1.31972,0.99684,1,0.995,0.70766,0.95591,0.58568,1.33394,0.0008912,0.0008912,0.0008912
30,1449.12,1.10048,0.66842,1.41625,0.99694,1,0.995,0.7615,0.92558,0.53756,1.31242,0.0008516,0.0008516,0.0008516
31,1485.9,0.99496,0.56744,1.32048,0.9969,1,0.995,0.77254,0.90288,0.50041,1.29897,0.000812,0.000812,0.000812
32,1530.42,0.90441,0.56802,1.21557,0.99694,1,0.995,0.78213,0.78181,0.45253,1.21005,0.0007724,0.0007724,0.0007724
33,1587.26,1.00009,0.56383,1.30754,0.99696,1,0.995,0.79267,0.77551,0.42286,1.18684,0.0007328,0.0007328,0.0007328
34,1639.93,1.00828,0.55083,1.26129,0.99694,1,0.995,0.77586,0.81489,0.39991,1.20272,0.0006932,0.0006932,0.0006932
35,1677.18,0.99155,0.55479,1.25839,0.99687,1,0.995,0.74152,0.84155,0.42846,1.22499,0.0006536,0.0006536,0.0006536
36,1714.04,0.96336,0.53586,1.30429,0.99697,1,0.995,0.78913,0.79677,0.42248,1.20404,0.000614,0.000614,0.000614
37,1753.05,0.90363,0.52331,1.23972,0.99706,1,0.995,0.78062,0.80528,0.41992,1.21681,0.0005744,0.0005744,0.0005744
38,1803.68,0.95208,0.50262,1.22216,0.99706,1,0.995,0.76231,0.85479,0.41805,1.26316,0.0005348,0.0005348,0.0005348
39,1872.61,0.96955,0.52947,1.25616,0.99715,1,0.995,0.77821,0.86156,0.44458,1.2769,0.0004952,0.0004952,0.0004952
40,1924.69,0.90381,0.51983,1.21494,0.99694,1,0.995,0.77671,0.88844,0.46341,1.30284,0.0004556,0.0004556,0.0004556
41,1961.15,0.84201,0.46832,1.23425,0.99682,1,0.995,0.78024,0.88412,0.47358,1.3055,0.000416,0.000416,0.000416
42,1998.26,0.81479,0.44748,1.24721,0.99679,1,0.995,0.73172,0.94485,0.47029,1.3646,0.0003764,0.0003764,0.0003764
43,2036.05,0.83583,0.42196,1.26175,0.99678,1,0.995,0.72067,0.9359,0.44512,1.35558,0.0003368,0.0003368,0.0003368
44,2092.6,0.84266,0.41888,1.30015,0.99693,1,0.995,0.78691,0.8328,0.40727,1.26022,0.0002972,0.0002972,0.0002972
45,2143.8,0.80728,0.3967,1.20513,0.99708,1,0.995,0.76197,0.83192,0.38872,1.25811,0.0002576,0.0002576,0.0002576
46,2185.21,0.78565,0.39162,1.20915,0.9972,1,0.995,0.75986,0.86623,0.38127,1.28709,0.000218,0.000218,0.000218
47,2220.51,0.78503,0.39943,1.19283,0.99726,1,0.995,0.76218,0.88881,0.37901,1.30301,0.0001784,0.0001784,0.0001784
48,2256.21,0.79626,0.39186,1.2128,0.99722,1,0.995,0.74789,0.92773,0.38232,1.33287,0.0001388,0.0001388,0.0001388
49,2292.38,0.76789,0.39073,1.15548,0.99726,1,0.995,0.74697,0.92171,0.38598,1.33103,9.92e-05,9.92e-05,9.92e-05
50,2345.2,0.80088,0.3826,1.21125,0.9972,1,0.995,0.74201,0.93525,0.39199,1.34243,5.96e-05,5.96e-05,5.96e-05
